2025-11-02 08:51:57.385 [main] INFO  c.D.N.NotesSphereApplication - Starting NotesSphereApplication using Java 22.0.2 with PID 18948 (C:\Users\dp220\Desktop\NotesSphere\NotesSphere\target\classes started by dp220 in C:\Users\dp220\Desktop\NotesSphere\NotesSphere)
2025-11-02 08:51:57.407 [main] INFO  c.D.N.NotesSphereApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-02 08:51:59.012 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-11-02 08:51:59.128 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 102 ms. Found 2 MongoDB repository interfaces.
2025-11-02 08:52:00.196 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9091 (http)
2025-11-02 08:52:00.215 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9091"]
2025-11-02 08:52:00.218 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-02 08:52:00.218 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-11-02 08:52:00.330 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-02 08:52:00.330 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2827 ms
2025-11-02 08:52:00.780 [cluster-ClusterId{value='6906ce5868ea9468dca02ecc', description='null'}-srv-notesspherecluster.vydj2r4.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-6tlfr4r-shard-00-00.vydj2r4.mongodb.net:27017 to client view of cluster
